Date,Total weeks on chart for top 40
1966-12-22,237
1966-12-29,223
1967-01-05,276
1967-01-12,250
1967-01-19,253
1967-01-26,237
1967-02-02,226
1967-02-09,207
1967-02-16,200
1967-02-23,204
1967-03-02,193
1967-03-09,196
1967-03-16,213
1967-03-23,215
1967-03-30,234
1967-04-06,214
1967-04-13,208
1967-04-20,219
1967-04-27,222
1967-05-04,225
1967-05-11,220
1967-05-18,223
1967-05-25,228
1967-06-01,237
1967-06-08,236
1967-06-15,224
1967-06-22,238
1967-06-29,262
1967-07-06,232
1967-07-13,264
1967-07-20,279
1967-07-27,277
1967-08-03,273
1967-08-10,247
1967-08-17,253
1967-08-24,220
1967-08-31,246
1967-09-07,236
1967-09-14,294
1967-09-21,280
1967-09-28,312
1967-10-05,306
1967-10-12,305
1967-10-19,338
1967-10-26,325
1967-11-02,276
1967-11-09,305
1967-11-16,315
1967-11-23,275
1967-11-30,281
1967-12-07,302
1967-12-14,282
1967-12-21,322
1967-12-28,353
1968-01-04,328
1968-01-11,325
1968-01-18,261
1968-01-25,313
1968-02-01,268
1968-02-08,260
1968-02-15,249
1968-02-22,217
1968-02-29,220
1968-03-07,226
1968-03-14,211
1968-03-21,229
1968-03-28,236
1968-04-04,213
1968-04-11,215
1968-04-18,221
1968-04-25,209
1968-05-02,208
1968-05-09,240
1968-05-16,238
1968-05-23,247
1968-05-30,247
1968-06-06,234
1968-06-13,252
1968-06-20,258
1968-06-27,257
1968-07-04,251
1968-07-11,223
1968-07-18,230
1968-07-25,239
1968-08-01,219
1968-08-08,235
1968-08-15,223
1968-08-22,237
1968-08-29,248
1968-09-05,261
1968-09-12,253
1968-09-19,248
1968-09-26,274
1968-10-03,258
1968-10-10,272
1968-10-17,271
1968-10-24,237
1968-10-31,235
1968-11-07,241
1968-11-14,242
1968-11-21,259
1968-11-28,241
1968-12-05,228
1968-12-12,267
1968-12-19,228
1968-12-26,278
1969-01-02,300
1969-01-09,262
1969-01-16,270
1969-01-23,271
1969-01-30,269
1969-02-06,235
1969-02-13,253
1969-02-20,215
1969-02-27,213
1969-03-06,235
1969-03-13,218
1969-03-20,229
1969-03-27,239
1969-04-03,255
1969-04-10,271
1969-04-17,238
